Location,Age,Sex,Measure,Metric,Pathogen,Pathogen Type,Infectious syndrome,Year,Value,Upper,Lower
Afghanistan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,463.0010351556889,639.4681373779752,291.463869898662
Angola,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,1927.6326454602197,2458.2744671717855,1420.9801434241665
Albania,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,11.840251032847009,15.845279501700611,8.747969985068567
Andorra,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,7.6077696275286435,10.173227123108136,5.607503478589713
United Arab Emirates,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,73.30159725623537,122.69734141095213,32.09310230291149
Argentina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,57.91384884043384,64.36929267402374,52.580310940413
Armenia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,102.81357785689794,126.01693932949186,83.09814823853253
American Samoa,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,54.629592896579226,69.3462646540697,42.853171423073135
Antigua and Barbuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,24.033511045616237,32.86539670843525,17.812357242628195
Australia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,7.919795962940833,9.919662282732482,6.23778175165358
Austria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,13.44097118886731,15.182719348450009,11.825512247590277
Azerbaijan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,306.5955370646359,393.0210610883081,246.57728231713025
Burundi,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,3262.0800730461447,4382.3516805213185,2368.514225356256
Belgium,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,14.702868985379691,16.85304165043824,12.940295468987307
Benin,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,966.5381396666405,1358.1016371515677,676.4846418095767
Burkina Faso,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,1650.7062537086338,2128.4558526510223,1293.4351057439433
Bangladesh,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,633.2443923216683,871.1061137418787,482.9600664106548
Bulgaria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,54.58752501842115,70.31908240119326,42.035185349978484
Bahrain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,33.69843298167383,43.67571725608864,26.01921518243776
Bahamas,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,81.84489140134329,104.6514628196067,64.57147388140686
Bosnia and Herzegovina,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,88.00223527111952,110.4938785914606,68.38766035872474
Belarus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,130.00036726958393,173.40879695072957,97.49710457228394
Belize,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,159.559908658051,188.98300391558033,133.3741872159298
Bermuda,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,12.451272224443661,18.991942007385543,7.852674955319648
Bolivia (Plurinational State of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,503.68944999889027,655.2520541980906,355.1567722653456
Brazil,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,98.45747455706407,106.00769219611642,92.2662456898742
Barbados,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,22.30610535455492,28.97828827866363,17.466580941985644
Brunei Darussalam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,136.78909438219566,160.38084905558833,117.13680661293392
Bhutan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,498.66250470687316,912.3022975163298,309.30167965820715
Botswana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,1657.9952160169908,2360.800949466244,1127.2394494921828
Central African Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,8177.361708715555,11110.973435904358,5937.878477283848
Canada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,8.662674135232528,9.933634288908646,7.5390152935133585
Switzerland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,8.733863240236635,10.147900399492872,7.5263632796016635
Chile,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,63.93356690955815,70.9669170159485,57.53181700999258
C̫te d'Ivoire,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,1239.6240602784655,1679.136699702383,851.4974747351287
Cameroon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,1011.7961060550025,1439.7938236782334,660.5475343775175
Democratic Republic of the Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,2427.741733664927,3366.3189926472705,1785.38761612063
Congo,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,1577.033304798181,2170.9253547338917,1077.8467762991972
Cook Islands,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,63.05036471014963,88.05976390414102,46.98200469274607
Colombia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,65.06363965254114,85.30868035487788,49.581325570018464
Comoros,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,1703.3365828322226,2242.230019535266,1103.654248106839
Cabo Verde,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,365.1387167947215,487.7707474969309,285.38262279148245
Costa Rica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,32.358061550847616,43.21024730186954,23.98263345592731
Cuba,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,14.08608690618057,18.777813893194953,10.486894930269068
Cyprus,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,8.257320284003614,9.700212843211196,6.964285364782138
Czechia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,14.162704789601982,17.91070828872248,11.129449499798387
Germany,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,11.90927870710082,13.6493915485948,10.434930610895252
Djibouti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,1580.270237727937,2250.8160838965405,1045.4168724654492
Dominica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,147.89339333068685,188.08529510697662,114.02407385058203
Denmark,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,11.064373500217833,12.735785596208968,9.517052275089979
Dominican Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,316.1327640023905,437.21175012689736,233.46673975315795
Algeria,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,39.11669882920537,49.77879614629688,30.67185046897477
Ecuador,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,165.49505464044313,214.31363765743163,131.1845388553738
Eritrea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,3145.886446441769,4508.306529332444,2100.1830950316116
Spain,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,16.437271718243675,18.21434425942687,14.707983251453236
Estonia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,67.68129793508311,89.21792854566294,50.009160078792
Ethiopia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,1192.6071381258973,1425.6191572729654,981.1406393472071
Finland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,16.886820636231388,19.52230420713411,14.5221042802416
Fiji,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,173.89946133814598,223.3622585986855,134.91443149028737
France,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,22.64884246672437,26.039266061358582,19.12764369076333
Micronesia (Federated States of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,461.8521586664935,640.5346496855362,285.44277571498554
Gabon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,1070.704864268021,1439.2501621359565,733.7369283913588
United Kingdom,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,13.39780228071537,14.477399441986373,12.436719374608503
Georgia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,212.5549935497936,255.75190378287564,170.62293003812056
Ghana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,1291.100045825606,1617.439642044966,976.9483573614405
Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,1520.0053490544788,2054.3344992244006,1099.4487814573622
Gambia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,1275.7951988533314,1663.6789696748085,920.9183434132998
Guinea-Bissau,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,1619.5343258805738,2166.0325469416266,1214.109584044399
Equatorial Guinea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,640.7567962516367,1082.087059567534,377.96820067978865
Greece,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,23.280392232513787,25.918325926017637,20.359549084467798
Grenada,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,28.09712254818358,35.018022907036254,22.36017097200283
Greenland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,133.55578145239545,163.3620764619379,105.20326086161532
Guatemala,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,106.95965220765416,138.13914658307246,81.90119571793127
Guam,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,86.20031833966593,106.62426581642353,68.79811937715115
Guyana,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,335.46003748014164,440.5854202273572,249.7375374393401
Honduras,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,192.1971146574549,280.48933834661193,140.37890801833612
Croatia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,30.947676985837187,40.34266273701269,23.862305596942004
Haiti,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,518.9858359159717,712.3765459565846,381.9482560708553
Hungary,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,16.55115801141829,21.077069685346856,12.871018667878387
Indonesia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,1027.8802965840475,1215.9184689028962,878.0450349737664
India,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,1128.4304057191287,1320.4533812904351,960.9582229149383
Ireland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,13.363561121508985,15.888544142253675,11.035662532000906
Iran (Islamic Republic of),All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,32.27733221233208,36.41059043682462,29.489678282028727
Iraq,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,96.4733101895315,130.70483327613775,73.09340854345614
Iceland,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,7.815302459886148,9.223943884619185,6.566222458531768
Israel,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,6.694796221769957,7.707557739213875,5.804091506228503
Italy,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,13.136418112951203,14.58340704463972,11.709685085820697
Jamaica,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,16.82850969154353,22.334342177905697,12.613777655761185
Jordan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,9.365343982009739,11.506561169601472,7.58895295469678
Japan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,38.82298274201542,43.01217794272017,32.39109208837514
Kazakhstan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,210.5893197862886,250.44892580231158,172.59117074211574
Kenya,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,1421.9971259310853,1799.1955088677232,1071.118491036998
Kyrgyzstan,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,313.3178805260414,366.867720413876,266.753355512532
Cambodia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,1346.6415650760948,1829.6929128002453,971.3109801600212
Kiribati,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,2350.038152307639,3000.618779169398,1823.4838508527848
Saint Kitts and Nevis,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,67.58411889999928,113.6318534646686,38.747846037318304
Republic of Korea,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,109.53336092557784,122.4264584743042,97.74813309794882
Kuwait,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,23.929624802517413,31.287545841458005,18.55454056405625
Lao People's Democratic Republic,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,1145.5724564303578,1508.7230335240636,794.1890476736717
Lebanon,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,32.015416537033474,63.09340121444372,20.31457573658146
Liberia,All Ages,Both sexes,DALYs (Disability-Adjusted Life Years),Rate (per 100k),Mycobacterium tuberculosis,Bacteria,All infectious syndromes,2019,929.8782381343351,1292.298004787874,639.5929273884508
